"MonitoringLocationIdentifier","AnalysisStartDate","CharacteristicName","ResultMeasureValue","ResultMeasure.MeasureUnitCode","LongitudeMeasure","LatitudeMeasure","airport"
"21ARIZ_WQX-66358",2007-05-31,"1,4-Dioxane",3.5,"ug/L",-110.9604689,32.1076875,FALSE
"21ARIZ_WQX-66358",2006-02-21,"1,4-Dioxane",6.8,"ug/L",-110.9604689,32.1076875,FALSE
"21ARIZ_WQX-66358",2007-02-14,"1,4-Dioxane",2.7,"ug/L",-110.9604689,32.1076875,FALSE
"21ARIZ_WQX-66360",2007-08-27,"1,4-Dioxane",4.2,"ug/L",-110.9578375,32.1121017,TRUE
"21ARIZ_WQX-66360",2007-03-01,"1,4-Dioxane",2.4,"ug/L",-110.9578375,32.1121017,TRUE
"21ARIZ_WQX-66360",2007-03-01,"1,4-Dioxane",2.3,"ug/L",-110.9578375,32.1121017,TRUE
"21ARIZ_WQX-66360",2005-03-01,"1,4-Dioxane",3.4,"ug/L",-110.9578375,32.1121017,TRUE
"21ARIZ_WQX-66360",2006-02-27,"1,4-Dioxane",3.9,"ug/L",-110.9578375,32.1121017,TRUE
"21ARIZ_WQX-66363",2006-02-27,"1,4-Dioxane",8.8,"ug/L",-110.95637,32.1168417,TRUE
"21ARIZ_WQX-66363",2007-05-31,"1,4-Dioxane",6.5,"ug/L",-110.95637,32.1168417,TRUE
"21ARIZ_WQX-66363",2005-03-01,"1,4-Dioxane",7.2,"ug/L",-110.95637,32.1168417,TRUE
"21ARIZ_WQX-66363",2007-05-31,"1,4-Dioxane",5.9,"ug/L",-110.95637,32.1168417,TRUE
"21ARIZ_WQX-66365",2007-08-27,"1,4-Dioxane",6.4,"ug/L",-110.9598742,32.1184139,TRUE
"21ARIZ_WQX-66365",2005-03-01,"1,4-Dioxane",8.5,"ug/L",-110.9598742,32.1184139,TRUE
"21ARIZ_WQX-66365",2006-03-01,"1,4-Dioxane",8.1,"ug/L",-110.9598742,32.1184139,TRUE
"21ARIZ_WQX-66365",2006-03-01,"1,4-Dioxane",6.8,"ug/L",-110.9598742,32.1184139,TRUE
"21ARIZ_WQX-66366",2007-05-31,"1,4-Dioxane",5.1,"ug/L",-110.9597992,32.1184175,TRUE
