"MonitoringLocationIdentifier","AnalysisStartDate","CharacteristicName","ResultMeasureValue","ResultMeasure.MeasureUnitCode","LongitudeMeasure","LatitudeMeasure","airport"
"21ARIZ_WQX-38540",2006-08-18,"1,4-Dioxane",5.6,"ug/L",-110.97735,32.1400308,FALSE
"21ARIZ_WQX-38540",2006-02-21,"1,4-Dioxane",5.5,"ug/L",-110.97735,32.1400308,FALSE
"21ARIZ_WQX-38540",2007-08-16,"1,4-Dioxane",5.1,"ug/L",-110.97735,32.1400308,FALSE
"21ARIZ_WQX-38540",2007-02-26,"1,4-Dioxane",5.8,"ug/L",-110.97735,32.1400308,FALSE
"21ARIZ_WQX-38540",2007-10-18,"1,4-Dioxane",5.2,"ug/L",-110.97735,32.1400308,FALSE
"21ARIZ_WQX-38540",2006-08-18,"1,4-Dioxane",4.8,"ug/L",-110.97735,32.1400308,FALSE
"21ARIZ_WQX-38540",2007-10-18,"1,4-Dioxane",4.4,"ug/L",-110.97735,32.1400308,FALSE
"21ARIZ_WQX-38547",2005-08-19,"1,4-Dioxane",6.8,"ug/L",-110.9689472,32.1391033,FALSE
"21ARIZ_WQX-38547",2005-02-16,"1,4-Dioxane",5.3,"ug/L",-110.9689472,32.1391033,FALSE
"21ARIZ_WQX-38547",2005-02-16,"1,4-Dioxane",5.6,"ug/L",-110.9689472,32.1391033,FALSE
"21ARIZ_WQX-38547",2007-03-05,"1,4-Dioxane",6.4,"ug/L",-110.9689472,32.1391033,FALSE
"21ARIZ_WQX-38547",2007-03-05,"1,4-Dioxane",6.8,"ug/L",-110.9689472,32.1391033,FALSE
"21ARIZ_WQX-38547",2006-02-08,"1,4-Dioxane",7.8,"ug/L",-110.9689472,32.1391033,FALSE
"21ARIZ_WQX-38547",2007-08-16,"1,4-Dioxane",5.5,"ug/L",-110.9689472,32.1391033,FALSE
"21ARIZ_WQX-38547",2006-08-18,"1,4-Dioxane",7.1,"ug/L",-110.9689472,32.1391033,FALSE
"21ARIZ_WQX-38572",2006-09-19,"1,4-Dioxane",1,"ug/L",-110.9763889,32.1203889,FALSE
"21ARIZ_WQX-38576",2006-02-08,"1,4-Dioxane",10.2,"ug/L",-110.9669467,32.1248964,FALSE
"21ARIZ_WQX-38576",2006-02-08,"1,4-Dioxane",9.9,"ug/L",-110.9669467,32.1248964,FALSE
"21ARIZ_WQX-38576",2007-02-26,"1,4-Dioxane",8.4,"ug/L",-110.9669467,32.1248964,FALSE
"21ARIZ_WQX-38576",2005-02-16,"1,4-Dioxane",8.6,"ug/L",-110.9669467,32.1248964,FALSE
"21ARIZ_WQX-38576",2005-08-17,"1,4-Dioxane",7.9,"ug/L",-110.9669467,32.1248964,FALSE
"21ARIZ_WQX-38576",2006-08-24,"1,4-Dioxane",9.7,"ug/L",-110.9669467,32.1248964,FALSE
"21ARIZ_WQX-38576",2005-02-16,"1,4-Dioxane",8.3,"ug/L",-110.9669467,32.1248964,FALSE
"21ARIZ_WQX-38576",2007-08-16,"1,4-Dioxane",8,"ug/L",-110.9669467,32.1248964,FALSE
"21ARIZ_WQX-38576",2006-08-24,"1,4-Dioxane",10,"ug/L",-110.9669467,32.1248964,FALSE
"21ARIZ_WQX-38806",2007-10-24,"1,4-Dioxane",16.3,"ug/L",-110.9598694,32.1189631,TRUE
"21ARIZ_WQX-38806",2007-08-16,"1,4-Dioxane",14.8,"ug/L",-110.9598694,32.1189631,TRUE
"21ARIZ_WQX-38806",2007-08-16,"1,4-Dioxane",14.6,"ug/L",-110.9598694,32.1189631,TRUE
"21ARIZ_WQX-38806",2007-10-24,"1,4-Dioxane",15.4,"ug/L",-110.9598694,32.1189631,TRUE
"21ARIZ_WQX-57475",2006-05-16,"1,4-Dioxane",6.1,"ug/L",-110.9761972,32.14299,FALSE
"21ARIZ_WQX-57475",2006-02-08,"1,4-Dioxane",7.9,"ug/L",-110.9761972,32.14299,FALSE
"21ARIZ_WQX-57475",2006-08-14,"1,4-Dioxane",7.4,"ug/L",-110.9761972,32.14299,FALSE
"21ARIZ_WQX-57475",2005-08-16,"1,4-Dioxane",6.4,"ug/L",-110.9761972,32.14299,FALSE
"21ARIZ_WQX-57475",2007-11-20,"1,4-Dioxane",8.2,"ug/L",-110.9761972,32.14299,FALSE
"21ARIZ_WQX-57475",2005-11-09,"1,4-Dioxane",7.5,"ug/L",-110.9761972,32.14299,FALSE
"21ARIZ_WQX-57475",2007-05-14,"1,4-Dioxane",3.7,"ug/L",-110.9761972,32.14299,FALSE
"21ARIZ_WQX-57475",2006-11-14,"1,4-Dioxane",6.8,"ug/L",-110.9761972,32.14299,FALSE
"21ARIZ_WQX-57475",2007-02-13,"1,4-Dioxane",5,"ug/L",-110.9761972,32.14299,FALSE
"21ARIZ_WQX-57475",2007-08-17,"1,4-Dioxane",5.2,"ug/L",-110.9761972,32.14299,FALSE
"21ARIZ_WQX-57475",2005-05-17,"1,4-Dioxane",5.3,"ug/L",-110.9761972,32.14299,FALSE
"21ARIZ_WQX-57475",2005-02-15,"1,4-Dioxane",5.5,"ug/L",-110.9761972,32.14299,FALSE
"21ARIZ_WQX-64550",2007-02-27,"1,4-Dioxane",20,"ug/L",-110.9444661,32.1269569,TRUE
"21ARIZ_WQX-64550",2006-03-23,"1,4-Dioxane",20,"ug/L",-110.9444661,32.1269569,TRUE
"21ARIZ_WQX-64550",2006-08-18,"1,4-Dioxane",20,"ug/L",-110.9444661,32.1269569,TRUE
"21ARIZ_WQX-64552",2006-03-24,"1,4-Dioxane",20,"ug/L",-110.9430575,32.1281369,TRUE
"21ARIZ_WQX-64552",2007-02-27,"1,4-Dioxane",20,"ug/L",-110.9430575,32.1281369,TRUE
"21ARIZ_WQX-64552",2007-02-27,"1,4-Dioxane",20,"ug/L",-110.9430575,32.1281369,TRUE
"21ARIZ_WQX-64552",2006-08-23,"1,4-Dioxane",20,"ug/L",-110.9430575,32.1281369,TRUE
"21ARIZ_WQX-64553",2006-08-18,"1,4-Dioxane",20,"ug/L",-110.9430275,32.1281608,TRUE
"21ARIZ_WQX-64553",2007-02-27,"1,4-Dioxane",80,"ug/L",-110.9430275,32.1281608,TRUE
"21ARIZ_WQX-64553",2006-03-24,"1,4-Dioxane",20,"ug/L",-110.9430275,32.1281608,TRUE
"21ARIZ_WQX-64554",2007-02-27,"1,4-Dioxane",20,"ug/L",-110.9417142,32.1290672,TRUE
"21ARIZ_WQX-64554",2006-08-23,"1,4-Dioxane",20,"ug/L",-110.9417142,32.1290672,TRUE
"21ARIZ_WQX-64554",2006-03-23,"1,4-Dioxane",20,"ug/L",-110.9417142,32.1290672,TRUE
"21ARIZ_WQX-64555",2006-03-23,"1,4-Dioxane",20,"ug/L",-110.9417303,32.1290297,TRUE
"21ARIZ_WQX-64555",2007-02-27,"1,4-Dioxane",20,"ug/L",-110.9417303,32.1290297,TRUE
"21ARIZ_WQX-64555",2006-03-23,"1,4-Dioxane",20,"ug/L",-110.9417303,32.1290297,TRUE
"21ARIZ_WQX-64555",2006-08-23,"1,4-Dioxane",20,"ug/L",-110.9417303,32.1290297,TRUE
"21ARIZ_WQX-64557",2007-02-27,"1,4-Dioxane",20,"ug/L",-110.942185,32.1269939,TRUE
"21ARIZ_WQX-64557",2006-03-23,"1,4-Dioxane",20,"ug/L",-110.942185,32.1269939,TRUE
"21ARIZ_WQX-64558",2007-02-27,"1,4-Dioxane",20,"ug/L",-110.9433042,32.1321364,TRUE
"21ARIZ_WQX-64558",2006-08-16,"1,4-Dioxane",20,"ug/L",-110.9433042,32.1321364,TRUE
